artist,title,lyrics_clean,image_url,genius_url
Tulus,Satu Hari di Bulan Juni,kita tak perlu terlalu banyak uang kita bahagia meski tak mana mana kamu cantik cantik meski tanpa bedak tanpa bedak rasa ini senang di dada milik milik peluk aku merdu ku dengar debar jantung oh tenang sayang semua kan baik baik saja kamu cantik cantik meski tanpa bedak tanpa bedak rasa ini senang di dada milik milik peluk aku merdu ku dengar debar jantung oh tenang sayang semua kan baik baik saja oh kita kan baik baik saja kita kan baik baik saja kita kan baik baik saja,https://images.genius.com/7cb36949e06cd83f0b745dc37156c482.1000x1000x1.png,https://genius.com/Tulus-satu-hari-di-bulan-juni-lyrics
Tulus,Sepatu,kita adalah pasang selalu sama tak bisa satu kita mati bagai tak jiwa gerak karena kaki manusia aku sang kanan kamu sang kiri ku senang bila ajak lari kencang tapi aku takut kamu lelah ku tak masalah bila kena hujan tapi aku takut kamu dingin hook kita sadar ingin sama tapi tak bisa apa apa asa lengkap bila kita dua asa sedih bila kita di rak beda di dekat kotak bagai nirwana tapi saling sentuh pun kita tak daya ku senang bila ajak lari kencang tapi aku takut kamu lelah ku tak masalah bila kena hujan tapi aku takut kamu dingin kita sadar ingin sama tapi tak bisa apa apa kita sadar ingin sama tapi tak bisa apa apa asa lengkap bila kita dua asa sedih bila kita di rak beda di dekat kotak bagai nirwana tapi saling sentuh pun kita tak daya cinta memang banyak bentuk mungkin tak semua bisa satu,https://images.genius.com/7cb36949e06cd83f0b745dc37156c482.1000x1000x1.png,https://genius.com/Tulus-sepatu-lyrics
Tulus,Diri,hari ini kau damai dengan diri sendiri kau maaf semua salah ampun diri hari ini ajak lagi diri bicara mesra jujur pada diri kau bisa percaya maaf semua yang lalu ampun hati kecil luka luka hilang luka biar tenteram yang kuasa kau terlalu harga untuk luka kata pada diri semua baik baik saja bisik terima kasih pada sendiri hebat dia terus jaga dan sayang suara bilang pada jangan paksa apa pun suara ingat terus aku makna cukup luka luka hilang luka biar senyum jadi senjata kau terlalu harga untuk luka kata pada diri semua baik baik saja bila lelah menep hayati alur napas luka luka hilang luka biar tenteram yang kuasa kau terlalu harga untuk luka kata pada diri semua baik baik saja luka luka hilang luka biar senyum jadi senjata kau terlalu harga untuk luka kata pada diri semua baik baik saja semua baik baik saja,https://images.genius.com/b8c8aad22946baa1e6c3dbde8b003506.1000x1000x1.png,https://genius.com/Tulus-diri-lyrics
Tulus,Bunga Tidur,bekas gincu di sudut bibir kiri di depan cermin sabtu pagi aku tak tahu ini punya siapa cukup jauh dari mabuk rasa untuk tak mimpi entah ini tanda apa sering malu karna sujud hanya bila tekan duhai pria yang aku ngaku dewasa kurun kebal beku didih pun tak mampu ini dia si jago malu bila kau pikir aku kuat itu dua empat tujuh aku bahagia reff kau salah kawan ku lindung dendang ini musik dia pagar jarak pandang mustahil tak celah di depan cermin sabtu pagi aku bicara dengan pantul bisa bawa kubur jauh dari dar angka hantu pikir kadang aku jatuh cinta kadang naik si pitam kadang gelap malam kadang semua tuli reff 2x lama ku lihat engkau senang yang lain ku simpan sendiri,https://images.genius.com/7cb36949e06cd83f0b745dc37156c482.1000x1000x1.png,https://genius.com/Tulus-bunga-tidur-lyrics
Tulus,Baru,tak perlu kau ajak aku bicara tak akan pernah ku dengar nya ini aku yang dulu bahkan tak dapat belah dengar dari telinga tak perlu solek wang bunga tak akan mampu luluh hati ini aku yang dulu bahkan tak dapat belah mata dari pandang reff nikmat kejut ini aku yang nikmat rasa rindu tak lagi di kuasa tak perlu gelitik aku tertawa tak lagi lihat ada yang lucu ini aku yang dulu nama terus jadi sisip tiap lelucon reff 2x dari dulu kamu tau patuh aku demi kamu dulu lalu tinggal dulu ini aku yang reff 2x,https://images.genius.com/7cb36949e06cd83f0b745dc37156c482.1000x1000x1.png,https://genius.com/Tulus-baru-lyrics
Dere,Tanya,dari sekian bintang cakrawala apa hanya kita saja yang nyawa lahir kita semua tak daya lalu hidup kita mesti upaya dan dewasa paksa pikul raya banyak yang aku tak tahu yang kamu tak akan juga tahu jawab jenak henti tanya nikmat saja waktu yang kita punya nikmat saja waktu yang punya mustahil untuk paham tak sepenuh kau pun paham tak tahu mungkin memang nadi kita hmm mungkin bila semua aku paham mungkin rasa ini tak tarik lagi banyak yang aku tak tahu yang kamu tak akan juga tahu jawab jenak henti tanya nikmat saja waktu yang kita punya nikmat saja waktu yang punya aku tak pernah tahu mana pergi jiwa saat tidur tubuh hidup dan segala misteri boleh terjang dengamu banyak yang aku tak tahu yang kamu tak akan juga tahu jawab jenak henti tanya nikmat saja waktu yang kita punya nikmat saja waktu yang punya banyak yang aku tak tahu yang kamu tak akan juga tahu jawab jenak henti tanya nikmat saja waktu yang kita punya nikmat saja waktu yang punya,https://images.genius.com/1bcace202c468b09ce1106d228f9b465.1000x1000x1.png,https://genius.com/Dere-tanya-lyrics
Tulus,Jatuh Suka,sungguh ku tidak milik daya di depan harum sungguh kunci kata yang tata di depan raga uuh uhh pre bila kau lihat ku tanpa sengaja begini surga bayang bila kau ajak bicara ini semua bukan salah punya magis rekat yang kuat itu dari lahir sudah begitu maaf aku pre bila kau lihat ku tanpa sengaja uuh begini surga bayang bila kau ajak bicara ini semua bukan salah punya magis rekat yang kuat itu dari lahir sudah begitu maaf aku bila kau kenan biar di samping rang satu jiwa yang sepi ini semua bukan salah punya magis rekat yang kuat itu dari lahir sudah begitu maaf ohh uhh ini semua bukan salah punya magis rekat yang kuat itu dari lahir sudah begitu maaf aku hmm aku,https://images.genius.com/b8c8aad22946baa1e6c3dbde8b003506.1000x1000x1.png,https://genius.com/Tulus-jatuh-suka-lyrics
Tulus,Bumerang,dia biar ku jatuh cinta lalu dia pergi enak hantu ragu tapi tak peduli gegabah jadi alas pandang yang tak lupa lama sudah aku tak punya lalu dia pergi tunggu di paksa rayu untuk bicara reff sudah jauh kini aku jalan tinggal diri tak ku lihat lagi apa yang buta raga sementara kau sibuk dengan main dengan hati yang lain nama yang lain sibuk rakit tuk serang balik serang dia bilang telah salah langkah kagum keliru arah puisi dan lagu yang sering ku tulis hanya itu yang dia mau tapi hati reff sudah jauh kini aku jalan tinggal diri tak ku lihat lagi apa yang buta raga sementara kau sibuk dengan main dengan hati yang lain nama yang lain sibuk rakit tuk serang balik serang tak ada maaf untuk dia nanti aku kan balas dia harus tahu cinta ini benar bukan hanya mau biasa dia harus tahu cinta ini benar bukan hanya mau biasa,https://images.genius.com/7cb36949e06cd83f0b745dc37156c482.1000x1000x1.png,https://genius.com/Tulus-bumerang-lyrics
Tulus,Mahakarya,bapak pernah kata saat jiwa pisah dari raga dia kan terbang hinggap karya baik kita ibu pernah kata jangan gantung pada untung senang dan tidak senang hidup gantung kerja keras beri hati pada tiap kerja keras karya karya beri hati pada tiap kerja keras karya karya interlude beri hati pada tiap kerja keras karya karya beri hati pada tiap kerja keras karya karya aku bisa rasa dia bisa rasa semua bisa rasa outro biar hati terus bicara mungkin kali ini mungkin kali ini mungkin kali ini lahir mahakarya,https://images.genius.com/6e95982d7ec2ba6e90fe5aa42fe1102e.1000x1000x1.png,https://genius.com/Tulus-mahakarya-lyrics
Dere,Berisik,intro du du du du du du du du du oh manusia mulut satu dan bicara lantang lidah tutup gigi tapi bagai pampang oh manusia akal budi tapi terkadang lupa kalau hidup di dunia hanya tamu saja bicara cukup tak semua harus ucap hmm oh manusia punya hati tapi tak hati hati alas logika sering rasa benar bicara cukup tak semua harus ucap hmm du du du du du du du du du du du du du du du du du du du du du du du du du du yeah outro aku manusia tulis lagu ini bukan karena aku rasa paling benar tapi karena rasa kadang ku juga lupa tuk bicara cukup,https://images.genius.com/6aa4d0005b2798a2460ecb36525ee0b6.1000x1000x1.png,https://genius.com/Dere-berisik-lyrics
